,Date,Production,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season
713,1943-11-25,Salomé,False,245275,De Tragedie van Salomé,N/A,Florent Schmitt,1907,La Tragédie de Salomé,ballet,1943-1944
714,1943-11-28,De Barbier van Sevilla,False,863342,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1943-1944
715,1943-11-28,Ballet Pan,False,985162,Pan,FR,Maurits Schoemaker,1937,Pan,ballet,1943-1944
716,1943-11-28,Salomé,False,906067,De Tragedie van Salomé,N/A,Florent Schmitt,1907,La Tragédie de Salomé,ballet,1943-1944
717,1943-11-30,Ballet Pan,False,915509,Pan,FR,Maurits Schoemaker,1937,Pan,ballet,1943-1944
718,1943-11-30,Salomé,False,829694,De Tragedie van Salomé,N/A,Florent Schmitt,1907,La Tragédie de Salomé,ballet,1943-1944
719,1943-12-02,Paganini,False,988041,Paganini,DUI,Franz Lehár,1925,Paganini,operetta,1943-1944
720,1943-12-05,Sint Niklaasfeest VNV,False,282477,Sint Niklaasfeest VNV,N/A,N/A,N/A,N/A,N/A,1943-1944
721,1943-12-05,Salomé,False,997131,De Tragedie van Salomé,N/A,Florent Schmitt,1907,La Tragédie de Salomé,ballet,1943-1944
722,1943-12-05,Ballet Pan,False,284402,Pan,FR,Maurits Schoemaker,1937,Pan,ballet,1943-1944
723,1943-12-05,De Tsarewitsch,False,369026,De Tsarewitsch,DUI,Franz Lehár,1926,Der Zarewitsch,operette,1943-1944
724,1943-12-07,Orpheus,False,575700,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1943-1944
725,1943-12-09,Orpheus,False,421972,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1943-1944
726,1943-12-11,Sint Niklaasfeest der Wapen SS,False,698016,Sint Niklaasfeest der Wapen SS,N/A,N/A,N/A,N/A,N/A,1943-1944
727,1943-12-11,Zaterdagavondconcert,False,392468,Zaterdagavondconcert,N/A,N/A,N/A,N/A,N/A,1943-1944
728,1943-12-12,De Tsarewitsch,False,865814,De Tsarewitsch,DUI,Franz Lehár,1926,Der Zarewitsch,operette,1943-1944
729,1943-12-12,Orpheus,False,987223,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1943-1944
730,1943-12-14,Paganini,False,395279,Paganini,DUI,Franz Lehár,1925,Paganini,operetta,1943-1944
731,1943-12-16,De Tsarewitsch,False,369814,De Tsarewitsch,DUI,Franz Lehár,1926,Der Zarewitsch,operette,1943-1944
732,1943-12-17,3 de Symfonieconcert,False,419411,3 de Symfonieconcert,N/A,N/A,N/A,N/A,N/A,1943-1944
733,1943-12-18,De Barbier van Sevilla,False,995118,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1943-1944
734,1943-12-19,Knokkelbeen,False,209169,Knokkelbeen,NL,Emiel Hullebroeck,?,Knokkelbeen,zangspel,1943-1944
735,1943-12-19,Paganini,False,329687,Paganini,DUI,Franz Lehár,1925,Paganini,operetta,1943-1944
736,1943-12-21,De Tsarewitsch,False,166779,De Tsarewitsch,DUI,Franz Lehár,1926,Der Zarewitsch,operette,1943-1944
737,1943-12-23,Knokkelbeen,False,228159,Knokkelbeen,NL,Emiel Hullebroeck,?,Knokkelbeen,zangspel,1943-1944
738,1943-12-25,De Tsarewitsch,False,641355,De Tsarewitsch,DUI,Franz Lehár,1926,Der Zarewitsch,operette,1943-1944
739,1943-12-25,Kerstfeest Vlaamschen Toeristenbond,False,257735,Kerstfeest Vlaamschen Toeristenbond,N/A,N/A,N/A,N/A,N/A,1943-1944
740,1943-12-25,Werther,False,511567,Werther,FR,Jules Massenet,1892,Werther,lyrisch drama,1943-1944
741,1943-12-26,Werther,False,339321,Werther,FR,Jules Massenet,1892,Werther,lyrisch drama,1943-1944
742,1943-12-26,Knokkelbeen,False,632800,Knokkelbeen,NL,Emiel Hullebroeck,?,Knokkelbeen,zangspel,1943-1944
743,1943-12-27,Kerstfeest door De Vlag,False,199400,Kerstfeest door De Vlag,N/A,N/A,N/A,N/A,N/A,1943-1944
744,1943-12-28,Knokkelbeen,False,412653,Knokkelbeen,NL,Emiel Hullebroeck,?,Knokkelbeen,zangspel,1943-1944
745,1943-12-30,Klaasfeest,False,426203,Klaasfeest,N/A,N/A,N/A,N/A,N/A,1943-1944
746,1943-12-30,Kinderfeest door Rode Kruis ten voordele van kinderen der krijgsgevangenen,False,362427,Kinderfeest door Rode Kruis ten voordele van kinderen der krijgsgevangenen,N/A,N/A,N/A,N/A,N/A,1943-1944
747,1943-12-30,Werther,False,162923,Werther,FR,Jules Massenet,1892,Werther,lyrisch drama,1943-1944
748,1944-01-02,Peperbol,False,347734,Peperbol,?,?,?,?,?,1943-1944
749,1944-01-02,Werther,False,454779,Werther,FR,Jules Massenet,1892,Werther,lyrisch drama,1943-1944
750,1944-01-03,Peperbol,False,770667,Peperbol,?,?,?,?,?,1943-1944
751,1944-01-04,Feest voor het stadspersoneel,False,685841,Feest voor het stadspersoneel,N/A,N/A,N/A,N/A,N/A,1943-1944
752,1944-01-04,Werther,False,878756,Werther,FR,Jules Massenet,1892,Werther,lyrisch drama,1943-1944
753,1944-01-06,Peperbol,False,691607,Peperbol,?,?,?,?,?,1943-1944
754,1944-01-08,Bal in de Opera,False,320035,Bal in de Opera,N/A,N/A,N/A,N/A,N/A,1943-1944
755,1944-01-09,Werther,False,189330,Werther,FR,Jules Massenet,1892,Werther,lyrisch drama,1943-1944
756,1944-01-09,Bal in de Opera,False,128615,Bal in de Opera,N/A,N/A,N/A,N/A,N/A,1943-1944
757,1944-01-10,Symfonisch concert,False,461189,Symfonisch concert,N/A,N/A,N/A,N/A,N/A,1943-1944
758,1944-01-11,Peperbol,False,892721,Peperbol,?,?,?,?,?,1943-1944
759,1944-01-13,Bal in de Opera,False,117399,Bal in de Opera,N/A,N/A,N/A,N/A,N/A,1943-1944
760,1944-01-16,Manon,False,335820,Manon,FR,Jules Massenet,1884,Manon,komische oper,1943-1944
761,1944-01-16,Peperbol,False,673054,Peperbol,?,?,?,?,?,1943-1944
762,1944-01-18,Bal in de Opera,False,728224,Bal in de Opera,N/A,N/A,N/A,N/A,N/A,1943-1944
763,1944-01-20,Manon,False,917055,Manon,FR,Jules Massenet,1884,Manon,komische oper,1943-1944
764,1944-01-23,Bal in de Opera,False,378307,Bal in de Opera,N/A,N/A,N/A,N/A,N/A,1943-1944
765,1944-01-23,Faust,False,982668,Faust,FR,Charles Gounod,1859,Faust,grand opera,1943-1944
766,1944-01-25,Manon,False,205959,Manon,FR,Jules Massenet,1884,Manon,komische oper,1943-1944
767,1944-01-25,Werther,False,174547,Werther,FR,Jules Massenet,1892,Werther,lyrisch drama,1943-1944
768,1944-01-27,Faust,False,908670,Faust,FR,Charles Gounod,1859,Faust,grand opera,1943-1944
769,1944-01-29,Kaart - en schaaktoernooi,False,782761,Kaart - en schaaktoernooi,N/A,N/A,N/A,N/A,N/A,1943-1944
770,1944-01-29,Manon,False,230164,Manon,FR,Jules Massenet,1884,Manon,komische oper,1943-1944
771,1944-01-30,Madame Dubarry,False,646157,Madame Dubarry,DUI,Carl Millöcker,1879,Gräfin Dubarry,operette,1943-1944
772,1944-01-30,Manon,False,547103,Manon,FR,Jules Massenet,1884,Manon,komische oper,1943-1944
773,1944-02-01,Faust,False,841877,Faust,FR,Charles Gounod,1859,Faust,grand opera,1943-1944
774,1944-02-03,Madame Dubarry,False,767374,Madame Dubarry,DUI,Carl Millöcker,1879,Gräfin Dubarry,operette,1943-1944
775,1944-02-06,Faust,False,600639,Faust,FR,Charles Gounod,1859,Faust,grand opera,1943-1944
776,1944-02-06,Madame Dubarry,False,351171,Madame Dubarry,DUI,Carl Millöcker,1879,Gräfin Dubarry,operette,1943-1944
777,1944-02-07,5 de Symfonieconcert,False,158207,5 de Symfonieconcert,N/A,N/A,N/A,N/A,N/A,1943-1944
778,1944-02-08,Madame Dubarry,False,164221,Madame Dubarry,DUI,Carl Millöcker,1879,Gräfin Dubarry,operette,1943-1944
779,1944-02-10,Orpheus,False,984753,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1943-1944
780,1944-02-12,Concertavond: Volksconcert,False,259643,Concertavond: Volksconcert,N/A,N/A,N/A,N/A,N/A,1943-1944
781,1944-02-13,De Lustige Weduwe,False,187972,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1943-1944
782,1944-02-13,Manon,False,901394,Manon,FR,Jules Massenet,1884,Manon,komische oper,1943-1944
783,1944-02-15,Lohengrin,False,863603,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1943-1944
784,1944-02-17,De Lustige Weduwe,False,325223,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1943-1944
785,1944-02-20,Lohengrin,False,691005,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1943-1944
786,1944-02-20,De Lustige Weduwe,False,401926,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1943-1944
787,1944-02-22,De Lustige Weduwe,False,217739,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1943-1944
788,1944-02-24,Peperbol,False,316114,Peperbol,?,?,?,?,?,1943-1944
789,1944-02-26,Weermachtconcert,False,598104,Weermachtconcert,N/A,N/A,N/A,N/A,N/A,1943-1944
790,1944-02-27,Lohengrin,False,123766,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1943-1944
791,1944-02-27,Madame Dubarry,False,541957,Madame Dubarry,DUI,Carl Millöcker,1879,Gräfin Dubarry,operette,1943-1944
792,1944-02-28,Dansavond José Torrès,False,149278,Dansavond José Torrès,N/A,N/A,N/A,N/A,N/A,1943-1944
793,1944-02-29,Madame Dubarry,False,155229,Madame Dubarry,DUI,Carl Millöcker,1879,Gräfin Dubarry,operette,1943-1944
794,1944-03-01,Lohengrin,False,539993,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1943-1944
795,1944-03-02,Lohengrin,False,468858,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1943-1944
796,1944-03-03,Lohengrin,False,157097,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1943-1944
797,1944-03-05,Madame Butterfly,False,932713,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1943-1944
798,1944-03-05,Monika,False,204206,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944
799,1944-03-06,6 de Symfonisch Concert,False,192175,6 de Symfonisch Concert,N/A,N/A,N/A,N/A,N/A,1943-1944
800,1944-03-07,Monika,False,878948,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944
801,1944-03-09,Monika,False,628214,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944
802,1944-03-12,Orpheus,False,342662,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1943-1944
803,1944-03-12,Madame Butterfly,False,658247,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1943-1944
804,1944-03-13,Pianorecital Eduardo,False,795634,Pianorecital Eduardo,N/A,N/A,N/A,N/A,N/A,1943-1944
805,1944-03-14,Pianorecital Delpuys,False,690217,Pianorecital Delpuys,N/A,N/A,N/A,N/A,N/A,1943-1944
806,1944-03-14,Werther,False,386938,Werther,FR,Jules Massenet,1892,Werther,lyrisch drama,1943-1944
807,1944-03-16,Ballet Tambolene,False,999619,Tombeleene,FR,Godfried Devreese,1927,Tombelène,ballet-mimodrama,1943-1944
808,1944-03-16,Salomé,False,770238,De Tragedie van Salomé,N/A,Florent Schmitt,1907,La Tragédie de Salomé,ballet,1943-1944
809,1944-03-18,Dans - en zangavond,False,703821,Dans - en zangavond,N/A,N/A,N/A,N/A,N/A,1943-1944
810,1944-03-19,Monika,False,901220,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944
811,1944-03-19,Ballet Tambolene,False,349747,Tombeleene,FR,Godfried Devreese,1927,Tombelène,ballet-mimodrama,1943-1944
812,1944-03-19,Salomé,False,813985,De Tragedie van Salomé,N/A,Florent Schmitt,1907,La Tragédie de Salomé,ballet,1943-1944
813,1944-03-20,Monika,False,860445,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944
814,1944-03-21,Ballet Tambolene,False,391144,Tombeleene,FR,Godfried Devreese,1927,Tombelène,ballet-mimodrama,1943-1944
815,1944-03-21,Salomé,False,898516,De Tragedie van Salomé,N/A,Florent Schmitt,1907,La Tragédie de Salomé,ballet,1943-1944
816,1944-03-23,Manina,False,293463,Manina,?,?,?,?,?,1943-1944
817,1944-03-24,Strijkkwartet De Groot,False,256485,Strijkkwartet De Groot,N/A,N/A,N/A,N/A,N/A,1943-1944
818,1944-03-26,De Lustige Weduwe,False,231921,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1943-1944
819,1944-03-26,Werther,False,475238,Werther,FR,Jules Massenet,1892,Werther,lyrisch drama,1943-1944
820,1944-03-28,Monika,False,101536,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944
821,1944-03-30,Werther,False,350900,Werther,FR,Jules Massenet,1892,Werther,lyrisch drama,1943-1944
822,1944-04-02,Manina,False,770613,Manina,?,?,?,?,?,1943-1944
823,1944-04-02,De Lustige Weduwe,False,805033,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1943-1944
824,1944-04-04,De Lustige Weduwe,False,863757,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1943-1944
825,1944-04-07,Parsifal,False,349446,Parsifal,DUI,Richard Wagner,1882,Parsifal,music drama,1943-1944
826,1944-04-09,Manon,False,636074,Manon,FR,Jules Massenet,1884,Manon,komische oper,1943-1944
827,1944-04-09,Manina,False,833358,Manina,?,?,?,?,?,1943-1944
828,1944-04-10,Parsifal,False,723104,Parsifal,DUI,Richard Wagner,1882,Parsifal,music drama,1943-1944
829,1944-04-11,Manina,False,316852,Manina,?,?,?,?,?,1943-1944
830,1944-04-13,Manon,False,447046,Manon,FR,Jules Massenet,1884,Manon,komische oper,1943-1944
831,1944-04-15,Parsifal,False,775411,Parsifal,DUI,Richard Wagner,1882,Parsifal,music drama,1943-1944
832,1944-04-16,De Barbier van Sevilla,False,677025,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1943-1944
833,1944-04-16,Monika,False,815536,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944
834,1944-04-17,Symfonieconcert,False,665660,Symfonieconcert,N/A,N/A,N/A,N/A,N/A,1943-1944
835,1944-04-18,Manon,False,137448,Manon,FR,Jules Massenet,1884,Manon,komische oper,1943-1944
836,1944-04-20,Lohengrin,False,780234,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1943-1944
837,1944-04-22,Manina,False,520842,Manina,?,?,?,?,?,1943-1944
838,1944-04-23,Monika,False,432787,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944
839,1944-04-23,Lohengrin,False,861965,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1943-1944
840,1944-04-24,Monika,False,697340,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944
841,1944-04-25,Manina,False,910763,Manina,?,?,?,?,?,1943-1944
842,1944-04-27,Monika,False,432613,Monika,DUI,Nico Dostal,1937,Monika,operette,1943-1944
843,1944-04-30,Lohengrin,False,982931,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1943-1944
844,1944-04-30,De Barbier van Sevilla,False,685982,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1943-1944
845,1944-05-02,Carmen,False,436623,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1943-1944
846,1944-05-04,Carmen,False,586500,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1943-1944
847,1944-05-07,De Lustige Weduwe,False,443301,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1943-1944
848,1944-05-07,Carmen,False,263028,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1943-1944
849,1944-05-09,Het Land van de Glimlach,False,591818,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1943-1944
850,1944-05-11,Een Meisje als Gij,False,213089,Een Meisje als Gij,?,?,?,?,?,1943-1944
851,1944-05-13,Leontientje,False,327065,Leontientje,NL,Felix Timmermans,?,Leontientje,toneelspel,1943-1944
852,1944-05-14,Een Meisje als Gij,False,779766,Een Meisje als Gij,?,?,?,?,?,1943-1944
853,1944-05-15,8 ste Symfonisch Concert,False,622973,8 ste Symfonisch Concert,N/A,N/A,N/A,N/A,N/A,1943-1944
854,1944-05-16,Een Meisje als Gij,False,566702,Een Meisje als Gij,?,?,?,?,?,1943-1944
855,1944-05-20,Het Land van de Glimlach,False,715563,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1943-1944
856,1944-05-21,Het Land van de Glimlach,False,507604,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1943-1944
857,1944-05-28,De Graaf van Luxemburg,False,257755,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1943-1944
858,1944-05-29,Bohème,False,929450,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1943-1944
859,1944-06-01,Het Land van de Glimlach,False,971047,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1943-1944
860,1944-06-04,Het Land van de Glimlach,False,790790,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1943-1944
861,1944-06-04,La Traviata,False,600844,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1943-1944
862,1944-06-05,9 de Symfonisch Concert,False,999293,9 de Symfonisch Concert,N/A,N/A,N/A,N/A,N/A,1943-1944
863,1944-06-08,La Traviata,False,463479,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1943-1944
864,1944-06-11,La Traviata,False,186155,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1943-1944
865,1944-06-11,De Rozenkavalier,False,413773,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,1943-1944
866,1944-06-15,De Graaf van Luxemburg,False,380875,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1943-1944
867,1944-06-18,De Vledermuis,False,484447,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1943-1944
868,1944-06-18,Carmen,False,685576,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1943-1944
869,1944-06-22,Carmen,False,466981,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1943-1944
870,1944-06-25,"Eva, het fabrieksmeisje",False,280199,"Eva, het fabrieksmeisje",FR,Franz Lehár,1911,Eva,operette,1943-1944
871,1944-06-25,De Vledermuis,False,620077,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1943-1944
872,1944-06-29,De Vledermuis,False,765991,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1943-1944
873,1944-07-02,Tsarewitsch,False,109578,De Tsarewitsch,DUI,Franz Lehár,1926,Der Zarewitsch,operette,1943-1944
874,1944-07-02,Bohème,False,706634,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1943-1944
875,1944-07-04,"Eva, het fabrieksmeisje",False,931723,"Eva, het fabrieksmeisje",FR,Franz Lehár,1911,Eva,operette,1943-1944
876,1944-07-06,"Eva, het fabrieksmeisje",False,170949,"Eva, het fabrieksmeisje",FR,Franz Lehár,1911,Eva,operette,1943-1944
877,1944-07-08,In het Witte Paard,False,527985,In het Witte Paard,DUI,Ralph Benatzky,1899,Im Weißen Rößl,operette,1943-1944
878,1944-07-09,In het Witte Paard,False,612132,In het Witte Paard,DUI,Ralph Benatzky,1899,Im Weißen Rößl,operette,1943-1944
880,1944-07-10,Spreekbeurt en zang met orkest van het VNV,False,955795,Spreekbeurt en zang met orkest van het VNV,N/A,N/A,N/A,N/A,N/A,1943-1944
881,1944-07-11,In het Witte Paard,False,536901,In het Witte Paard,DUI,Ralph Benatzky,1899,Im Weißen Rößl,operette,1943-1944
882,1944-07-12,In het Witte Paard,False,832684,In het Witte Paard,DUI,Ralph Benatzky,1899,Im Weißen Rößl,operette,1943-1944
883,1944-07-13,In het Witte Paard,False,982716,In het Witte Paard,DUI,Ralph Benatzky,1899,Im Weißen Rößl,operette,1943-1944
884,1944-07-16,Een Meisje als Gij,False,812230,Een Meisje als Gij,?,?,?,?,?,1943-1944
885,1944-07-16,"Eva, het fabrieksmeisje",False,487346,"Eva, het fabrieksmeisje",FR,Franz Lehár,1911,Eva,operette,1943-1944
886,1944-07-18,De Tsarewitsch,False,800362,De Tsarewitsch,DUI,Franz Lehár,1926,Der Zarewitsch,operette,1943-1944
887,1944-07-20,Gemaskerd Bal,False,961776,Gemaskerd Bal,N/A,N/A,N/A,N/A,N/A,1943-1944
888,1944-07-22,Een Meisje als Gij,False,525195,Een Meisje als Gij,?,?,?,?,?,1943-1944
889,1944-07-23,Gemaskerd Bal,False,348302,Gemaskerd Bal,N/A,N/A,N/A,N/A,N/A,1943-1944
890,1944-07-23,In het Witte Paard,False,721684,In het Witte Paard,DUI,Ralph Benatzky,1899,Im Weißen Rößl,operette,1943-1944
891,1944-07-25,In het Witte Paard,False,873739,In het Witte Paard,DUI,Ralph Benatzky,1899,Im Weißen Rößl,operette,1943-1944
892,1944-07-27,In het Witte Paard,False,889380,In het Witte Paard,DUI,Ralph Benatzky,1899,Im Weißen Rößl,operette,1943-1944
893,1944-07-30,In het Witte Paard,False,262446,In het Witte Paard,DUI,Ralph Benatzky,1899,Im Weißen Rößl,operette,1943-1944
894,1944-07-30,Gemaskerd Bal,False,232434,Gemaskerd Bal,N/A,N/A,N/A,N/A,N/A,1943-1944
895,1944-08-12,"Eva, het fabrieksmeisje",False,344420,"Eva, het fabrieksmeisje",FR,Franz Lehár,1911,Eva,operette,1943-1944
896,1944-08-13,Spreekbeurt SS Karel Dhaese,False,915443,Spreekbeurt SS Karel Dhaese,N/A,N/A,N/A,N/A,N/A,1943-1944
897,1944-08-26,De Neef uit het Oosten,False,641676,De Neef uit het Oosten,NL,?,1925,De Neef uit het Oosten,toneelstuk,1943-1944
