Date	Production
26/10/1940	De Vroolijke vrouwtjes van Windsor
27/10/1940	De Vroolijke vrouwtjes van Windsor
27/10/1940	Het Land der Meisjes
3/11/1940	1e Operaconcert
3/11/1940	Het Land der Meisjes
3/11/1940	De Vroolijke vrouwtjes van Windsor
4/11/1940	Het Land der Meisjes
8/11/1940	Opera-avond
10/11/1940	Het Land der Meisjes
10/11/1940	De Vledermuis
11/11/1940	De Vledermuis
17/11/1940	Winterconcert
17/11/1940	De Vledermuis
17/11/1940	De Molen van Sans Souci
18/11/1940	De Vroolijke vrouwtjes van Windsor
24/11/1940	De Molen van Sans Souci
24/11/1940	De Vledermuis
25/11/1940	De Molen van Sans Souci
1/12/1940	Winterconcert
1/12/1940	De Vledermuis
1/12/1940	De Lustige Weduwe
2/12/1940	Duits Winterconcert
5/12/1940	De Vledermuis
8/12/1940	De Lustige Weduwe
8/12/1940	Hansel en Gretel
12/12/1940	Hansel en Gretel
15/12/1940	Operaconcert
15/12/1940	Hansel en Gretel
15/12/1940	Het Land van de Glimlach
17/12/1940	De Walküre
18/12/940	Hansel en Gretel
19/12/1940	De Lustige Weduwe
22/12/1940	Concert Duvosel
22/12/1940	Het Dorp zonder Klok
25/12/1940	Het Land van de Glimlach
25/12/1940	Het Dorp zonder Klok
26/12/1940	Het Land van de Glimlach
27/12/1940	Volksvergadering Winterhulp
29/12/1940	Winterconcert
29/12/1940	Het Dorp zonder Klok
29/12/1940	De Schone Blauwe Donau
29/12/1940	Hansel en Gretel
1/1/1941	Het Land van de Glimlach
2/1/1941	Filharmonisch Orkest
5/1/1941	De Lustige Weduwe
5/1/1941	De Lustige Weduwe
9/1/1941	Cosi fan Tutte
12/1/1941	Operaconcert
12/1/1941	Cosi fan Tutte
12/1/1941	Het Land van de Glimlach
13/1/1941	Huldebetoon Heer Burgemeester
15/1/1941	Figaro’s Hoekzeit
16/1/1941	Vina Tcjekaress
19/1/1941	Het Land van de Glimlach
19/1/1941	Cosi fan Tutte
21/1/1941	Variété Duitse Weermacht
23/1/1941	De Lustige Weduwe
23/1/1941	Variété Duitse Weermacht
26/1/1941	Operaconcert
26/1/1941	Vina Tcjekaress
26/1/1941	La Traviata
28/1/1941	Lohengrin
30/1/1941	La Traviata
2/2/1941	La Traviata
2/2/1941	Vina Tcjekaress
6/2/1941	Cosi fan Tutte
9/2/1941	Operaconcert
9/2/1941	De Vledermuis
9/2/1941	De Zigeunerbaron
11/2/1941	Duits ontspanningsfeest
12/2/1941	Variété Duitse Weermacht
13/2/1941	De Zigeunerbaron
14/2/1941	Muziekavond Duitse Weermacht
16/2/1941	De Zigeunerbaron
17/2/1941	De Vledermuis
20/2/1941	La Traviata
22/2/1941	Duits Concert
23/2/1941	Operaconcert
23/2/1941	Het Land van de Glimlach
23/2/1941	La Traviata
25/2/1941	Fidelio
27/2/1941	De Vledermuis
2/3/1941	De Zigeunerbaron
2/3/1941	Frederika
4/3/1941	Drei alte Schachteln
5/3/1941	Drei alte Schachteln
6/3/1941	Frederika
8/3/1941	Tageszeifen der Liebe
9/3/1941	Operaconcert
9/3/1941	Frederika
9/3/1941	De Barbier van Sevilla
13/3/1941	La Traviata
13/3/1941	Die Gleswister
16/3/1941	De Barbier van Sevilla
16/3/1941	De Zigeunerbaron
18/3/1941	Liebe in der Lerchengasse
19/3/1941	Liebe in der Lerchengasse
20/3/1941	Koekoek
20/3/1941	De Barbier van Sevilla
23/3/1941	Frederika
23/3/1941	La Traviata
26/3/1941	Tanzabend van Ballet Staatsop. Berlin
27/3/1941	Anne-Marie
29/3/1941	Duits concert: Niedersachsen Orchester Hannover 
30/3/1941	Kunstconcert
30/3/1941	Anne-Marie
30/3/1941	Het Meisje van Zaventem
2/4/1941	Zang en spreekbeurten
3/4/1941	Het Meisje van Zaventem
6/4/1941	Het Meisje van Zaventem
6/4/1941	Anne-Marie
7/4/1941	Variété Duitse Weermacht
7/4/1941	Berliner Kunstlerfahrt
8/4/1941	De Vledermuis
10/4/1941	De Zigeunerbaron
13/4/1941	De Arme Student
13/4/1941	De Arme Student
17/4/1941	De Arme Student
20/4/1941	De Arme Student
20/4/1941	Het Meisje van Zaventem
22/4/1941	Hansel en Gretel
23/4/1941	Hansel en Gretel
24/4/1941	De Arme Student
27/4/1941	In het Witte Paard
27/4/1941	In het Witte Paard
1/5/1941	In het Witte Paard
2/5/1941	Duitse Jazz Muziek
3/5/1941	In het Witte Paard
4/5/1941	Operaconcert
4/5/1941	In het Witte Paard
4/5/1941	In het Witte Paard
9/5/1941	De Neef uit het Oosten
10/5/1941	De Neef uit het Oosten
12/5/1941	In het Witte Paard
12/5/1941	In het Witte Paard
18/5/1941	In het Witte Paard
18/5/1941	In het Witte Paard
21/5/1941	Gastspiel des Nationalsocialistischen symphonie-orkesters 
22/5/1941	In het Witte Paard
22/5/1941	In het Witte Paard
25/5/1941	De Vogelhandelaar
25/5/1941	De Vogelhandelaar
29/5/1941	De Vogelhandelaar
31/5/1941	Der Dorfbarbier
1/6/1941	Weermachtconcert
1/6/1941	De Vogelhandelaar
1/6/1941	De Vogelhandelaar
2/6/1941	De Vogelhandelaar
5/6/1941	De Vogelhandelaar
7/6/1941	Balletkorps van Berliner Opera 
7/6/1941	Balletkorps van Berliner Opera 
8/6/1941	De Vogelhandelaar
8/6/1941	De Vogelhandelaar
12/6/1941	De Arme Student
15/6/1941	De Arme Student
15/6/9141	In het Witte Paard
19/6/1941	De Graaf van Luxemburg
22/6/1941	De Graaf van Luxemburg
22/6/1941	Madame Butterfly
26/6/1941	Madame Butterfly
27/6/1941	Tanzabend ‘Kraft durch Freude’
29/6/1941	Die Deutsche Wehrmacht speelt en zingt 
29/6/1941	Madame Butterfly
29/6/1941	De Graaf van Luxemburg
3/7/1941	Madame Butterfly
9/7/1941	Ein Abend bei Peter Igelhof
13/7/1941	Kunstconcert Lieven Duvosel 
17/7/1941	‘Gloria Express’ voor Duitse Weermach’
18/7/1941	Variété Kraft dur (sic) Freude 
29/7/1941	De Barbier van Sevilla
30/7/1941	De Barbier van Sevilla
31/7/1941	De Barbier van Sevilla
3/8/1941	Concert Duitse Weermacht 
11/8/1941	De weg naar het paradijs 
11/8/1941	Mirandolina 
15/8/1941	Marieken van Nijmegem 
17/8/1941	Groot Duvosel Concert 
24/8/1941	Der Eheftreich voor Duitse Weermacht 
2/9/1941	War ihr Wollt
3/9/1941	War ihr Wollt
7/9/1941	Duits concert: Die Deutsche Arbeitsfront: NS Gemeinschaft ‘Kraft Durch Freude’ 
8/9/1941	Concert en zang door het Rheinifekes Landesorchefter Köln 
19/9/1941	Madame Butterfly
23/9/1941	Madame Butterfly
27/9/1941	Lohengrin
28/9/1941	Lohengrin
28/9/1941	Weenerwalsen
2/10/1941	Lohengrin
4/10/1941	Weenerwalsen
5/10/1941	Weenerwalsen
5/10/1941	Lohengrin
9/10/1941	Weenerwalsen
11/10/1941	Marieken van Nijmegem 
12/10/1941	Marieken van Nijmegem 
12/10/1941	De Graaf van Luxemburg
14/10/1941	De Meesterzangers van Nurenberg
16/10/1941	Marieken van Nijmegem 
18/10/1941	Monica
19/10/1941	Monica
19/10/1941	Marieken van Nijmegem 
23/10/1941	De Graaf van Luxemburg
25/10/1941	Bohème
26/10/1941	20 minuten ballet Sylphiden
26/10/1941	Monica
30/10/1941	20 minuten ballet Sylphiden
30/10/1941	Bohème
31/10/1941	Zwei Frohe Stunden
1/11/1941	Laagland
2/11/1941	De Graaf van Luxemburg
2/11/1941	Laagland
5/11/1941	Concert en zang door de Duitse Weermacht 
6/11/1941	Monica
7/11/1941	Pianorecital Walter Rummel 
8/11/1941	De Graaf van Luxemburg
9/11/1941	Laagland
9/11/1941	20 minuten ballet Sylphiden
9/11/1941	Bohème
12/11/1941	Duits Weermachtconcert en zang met koor 
13/11/1941	Laagland
14/11/1941	Dansconcert Robert Garden en zijn orkest 
15/11/1941	Madame Butterfly
16/11/1941	Eva, het fabrieksmeisje
16/11/1941	20 minuten ballet Koekoek
16/11/1941	Madame Butterfly
17/11/1941	Monika
18/11/1941	Concert Duitse Weermacht 
19/11/1941	20 minuten ballet Koekoek
19/11/1941	Madame Butterfly
20/11/1941	20 minuten ballet Koekoek
20/11/1941	Madame Butterfly
22/11/1941	Eva, het fabrieksmeisje
23/11/1941	Madame Butterfly
23/11/1941	Eva, het fabrieksmeisje
27/11/1941	Eva, het fabrieksmeisje
29/11/1941	Monika
30/11/1941	Monika
30/11/1941	Monika
3/12/1941	Modeshow
3/12/1941	Modeshow
4/12/1941	20 minuten ballet Sylphiden
4/12/1941	Bohème
5/12/1941	Walter Rummel
6/12/1941	Ballet
6/12/1941	Bohème
7/12/1941	Ballet
7/12/1941	Bohème
7/12/1941	Laagland
9/12/1941	De Barbier van Sevilla
10/12/1941	De Barbier van Sevilla
11/12/1941	Monika
12/12/1941	Bohème
13/12/1941	Monika
14/12/1941	Eva, het fabrieksmeisje
14/12/1941	Ballet
14/12/1941	Bohème
16/12/1941	Filharmonisch orkest van Antwerpen 
18/12/1941	Martha
20/12/1941	De Parelvissers
21/12/1941	Spreekbeurt door Steenbondt
21/12/1941	De Parelvissers
21/12/1941	Eva, het fabrieksmeisje
25/12/1941	Het Land van de Glimlach
25/12/1941	De Parelvissers
27/12/1941	Orpheus
28/12/1941	Orpheus
28/12/1941	Martha
29/12/1941	De Parelvissers
30/12/1941	Orpheus
1/1/1942	Orpheus
3/1/194	Het Land van de Glimlach
4/1/194	Martha
4/1/194	Orpheus
8/1/194	Madame Butterfly
10/1/194	Martha
11/1/1942	Laagland
11/1/194	De Parelvissers
15/1/1942	De Parelvissers
16/1/1942	Die Entfürung aus dem Serail
17/1/1942	Concert NIR 
17/1/1942	De Parelvissers
18/1/1942	De Vledermuis
18/1/1942	De Vledermuis
22/1/1942	De Vledermuis
24/1/1942	Tosca
25/1/1942	Het Land van de Glimlach
25/1/1942	Tosca
29/1/1942	Tosca
31/1/1942	Rigoletto
1/2/1942	Tosca
1/2/1942	Tosca
2/2/1942	Galaconcert
4/2/1942	De Vledermuis
5/2/1942	Rigoletto
7/2/1942	De Vledermuis
8/2/1942	Rigoletto
8/2/1942	De Dans met de Keizerin
11/2/1942	Concert symfonieorkest 
12/2/1942	De Dans met de Keizerin
14/2/1942	De Dans met de Keizerin
14/2/1942	De Dans met de Keizerin
15/2/1942	De Dans met de Keizerin
15/2/1942	Het Land van de Glimlach
19/2/1942	Tosca
20/2/1942	Tsaar en Timmerman
21/2/1942	Het Land van de Glimlach
22/2/1942	Tosca
22/2/1942	De Vledermuis
24/2/1942	Orpheus
26/2/1942	De Vledermuis
28/2/1942	Rigoletto
1/3/1942	De Vledermuis
1/3/1942	Orpheus
4/3/1942	Concert Duitse Weermacht 
5/3/1942	Orpheus
6/3/1942	Die Weenersangerknaben 
7/3/1942	Orpheus
8/3/1942	Het Land van de Glimlach
8/3/1942	De Dans met de Keizerin
12/3/1942	Het Land van de Glimlach
14/3/1942	De Vliegende Hollander
15/3/1942	De Vliegende Hollander
15/3/1942	La Traviata
19/3/1942	De Vliegende Hollander
21/3/1942	De Dans met de Keizerin
22/3/1942	De Dans met de Keizerin
22/3/1942	Rigoletto
24/3/1942	De Vliegende Hollander
26/3/1942	La Traviata
28/3/1942	De Vliegende Hollander
29/3/1942	La Traviata
29/3/1942	De Vliegende Hollander
2/4/1942	De Dans met de Keizerin
4/4/1942	Prinses Zonneschijn
5/4/1942	Ballet
5/4/1942	De Barbier van Sevilla
5/4/1942	Prinses Zonneschijn
8/4/1942	Het Land van de Glimlach
9/4/1942	La Traviata
11/4/1942	La Traviata
12/4/1942	Het Land van de Glimlach
12/4/1942	Het Land van de Glimlach
14/4/1942	Prinses Zonneschijn
16/4/1942	Ballet Carnaval
16/4/1942	De Barbier van Sevilla
18/4/1924	Het Land van de Glimlach
19/4/1942	La Traviata
19/4/1942	De Vliegende Hollander
22/4/1942	De Vledermuis
23/4/1942	De Vliegende Hollander
25/4/1942	De Barbier van Sevilla
26/4/1942	De Vliegende Hollander
26/4/1942	La Traviata
30/4/1942	Prinses Zonneschijn
1/5/1942	Feest van de Arbeid 
2/5/1942	De Ontvoering uit het Serail
3/5/1942	Prinses Zonneschijn
3/5/1942	De Ontvoering uit het Serail
4/5/1942	Symfonisch concert nav Mozartweek 
5/5/1942	Mozart theenamiddag 
6/5/1942	Voordracht Mozart in Redoutezaal 
7/5/1942	Kamermuziek, herdenking Mozart
8/5/1942	Symfonisch Orkest: Paul Douliez 
9/5/1942	Cosi fan Tutte
10/5/1942	De Ontvoering uit het Serail
10/5/1942	De Ontvoering uit het Serail
14/5/1942	De Barbier van Sevilla
16/5/1942	De Mascotte 
17/5/1942	De Mascotte 
17/5/1942	De Barbier van Sevilla
18/5/1942	De Ontvoering uit het Serail
21/5/1942	De Mascotte 
23/5/1942	La Traviata
24/5/1942	Banket (Grote Bazar) salons 
24/5/1942	Cosi fan Tutte
24/5/1942	Cosi fan Tutte
24/5/1942	Banket (Grote Bazar) salons 
28/5/1942	Cosi fan Tutte
30/5/1942	De Lustige Weduwe
31/5/1942	De Lustige Weduwe
31/5/1942	De Mascotte 
1/6/1942	Faust
4/6/1942	Faust
6/6/1942	Faust
7/6/1942	De Mascotte 
7/6/1942	Faust
11/6/1942	De Lustige Weduwe
13/6/1942	De Zigeunerbaron
14/6/1942	Faust
14/6/1942	De Lustige Weduwe
16/6/1942	Tentoonstelling in Redoutezaal 
16/6/1942	Zwei Frohe Stunden 
17/6/1942	Variété voor de Duitse Weermacht 
18/6/1942	De Zigeunerbaron
20/6/1942	Faust
21/6/1942	De Zigeunerbaron
21/6/1942	De Zigeunerbaron
22/6/1942	De Zigeunerbaron
25/6/1942	Faust
27/6/1942	De Mascotte 
28/6/1942	De Lustige Weduwe
28/6/1942	Faust
29/6/1942	Faust
1/7/1942	Concert van de Duitse Weermacht 
4/7/1942	Balletavond Opera van Essen 
5/7/1942	Bont artiestenfeest
5/7/1942	Bont artiestenfeest
11/7/1942	Tijl Uilenspiegel
12/7/1942	Bont artiestenfeest
16/7/1942	Artiestenrevue
18/7/1942	Spreekbeurt
19/7/1942	Die Verkaufte Braut 
20/7/1942	Die Verkaufte Braut 
21/7/1942	Die Verkaufte Braut 
16/8/1942	Tijl Uilenspiegel
6/9/1942	Herhaling ‘sportfeest’ van de politie 
1/10/1942	Tannhäuser
4/10/1942	Weenerbloed
4/10/1942	Tannhäuser
5/10/1942	1 e symfonisch concert 
6/10/1942	Weenerbloed
7/10/1942	Tosca
8/10/1942	Tosca
11/10/1942	Tosca
11/10/1942	Weenerbloed
13/10/1942	Tosca
15/10/1942	Weenerbloed
